,1950,1960,1970,1980,1990
!,255.0,134.0,73.0,171.0,374.0
"""",148.0,92.0,53.0,41.0,261.0
#,0.0,5.0,3.0,8.0,29.0
$,16.0,6.0,0.0,2.0,0.0
%,21.0,29.0,5.0,25.0,49.0
&,74.0,63.0,44.0,42.0,101.0
',482.0,290.0,100.0,107.0,450.0
(,468.0,350.0,207.0,805.0,1859.0
),516.0,426.0,200.0,813.0,1956.0
*,230.0,168.0,62.0,102.0,289.0
+,6.0,8.0,1.0,17.0,273.0
",",7668.0,5979.0,3537.0,6373.0,20599.0
-,519.0,392.0,282.0,863.0,3751.0
.,11358.0,8030.0,5550.0,12195.0,41751.0
...,18.0,15.0,9.0,19.0,49.0
....,11.0,3.0,3.0,3.0,8.0
.....,0.0,0.0,0.0,0.0,2.0
......,0.0,0.0,0.0,0.0,2.0
.0,0.0,0.0,0.0,0.0,2.0
.01050510,0.0,0.0,0.0,0.0,2.0
.05,0.0,0.0,0.0,0.0,2.0
.1,6.0,0.0,0.0,0.0,10.0
.10,0.0,2.0,0.0,0.0,0.0
.1500,0.0,0.0,0.0,0.0,2.0
.157,0.0,2.0,0.0,0.0,0.0
.16,0.0,0.0,0.0,0.0,2.0
.3,2.0,0.0,0.0,0.0,0.0
.32,0.0,0.0,0.0,0.0,4.0
.33,0.0,0.0,0.0,0.0,2.0
.40,0.0,0.0,0.0,0.0,10.0
.52152969,0.0,0.0,0.0,0.0,2.0
.56,0.0,0.0,0.0,0.0,24.0
.7,0.0,0.0,0.0,0.0,2.0
.9047,0.0,0.0,0.0,1.0,1.0
/,119.0,57.0,43.0,341.0,4676.0
0,9.0,16.0,2.0,8.0,28.0
"0,1",0.0,0.0,0.0,0.0,2.0
"0,5",2.0,0.0,0.0,0.0,0.0
0.,2.0,0.0,0.0,0.0,8.0
0.1,2.0,2.0,0.0,0.0,16.0
0.2,2.0,0.0,0.0,0.0,2.0
0.5,0.0,0.0,0.0,2.0,0.0
00,7.0,0.0,0.0,4.0,64.0
00.,4.0,0.0,0.0,2.0,16.0
00.05,0.0,0.0,0.0,2.0,1.0
00.10,0.0,0.0,0.0,0.0,2.0
00.15,0.0,0.0,0.0,0.0,1.0
00.20,0.0,0.0,0.0,0.0,2.0
00.40,0.0,0.0,0.0,0.0,2.0
000,280.0,132.0,91.0,107.0,211.0
000.,10.0,2.0,0.0,0.0,4.0
0000,0.0,0.0,0.0,0.0,2.0
001,0.0,0.0,0.0,0.0,2.0
0031,0.0,0.0,0.0,8.0,0.0
0032,0.0,0.0,0.0,6.0,0.0
0033,0.0,0.0,0.0,8.0,0.0
01,2.0,2.0,0.0,4.0,25.0
01.,0.0,0.0,0.0,2.0,8.0
01.05,0.0,0.0,0.0,0.0,3.0
01.07.93,0.0,0.0,0.0,0.0,2.0
01.15,0.0,0.0,0.0,0.0,4.0
012,0.0,0.0,0.0,1.0,1.0
